mode,S,trials,success,failure,signing_ms_avg,signing_ms_median,signing_ms_std,signing_ms_p95,aggregation_ms_avg,aggregation_ms_median,aggregation_ms_std,opening_ms_avg,opening_ms_median,opening_ms_std,verification_ms_avg,verification_ms_median,verification_ms_std,tracing_ms_avg,tracing_ms_median,tracing_ms_std,total_ms_avg,total_ms_median,total_ms_std,total_ms_p95,transcript_bytes_avg,transcript_bytes_std
baseline_gargos,4,100,100,0,2.712968,2.563211,0.398778,3.671549,1.962181,1.844899,0.352578,0.000000,0.000000,0.000000,0.079087,0.067471,0.040160,0.000000,0.000000,0.000000,4.755069,4.541520,0.570059,5.699993,1564.000,0.000
full_construction,4,100,100,0,4.951714,4.732381,0.568921,5.965572,0.503390,0.450128,0.212097,0.210817,0.195867,0.032769,0.213320,0.196731,0.051129,0.231583,0.201481,0.125630,6.126758,5.905091,0.644219,7.325258,3676.000,0.000
baseline_gargos,8,100,100,0,5.348181,5.052179,0.580405,6.285139,3.776406,3.630929,0.398665,0.000000,0.000000,0.000000,0.072243,0.067541,0.013250,0.000000,0.000000,0.000000,9.198493,9.379874,0.626583,10.053922,3020.000,0.000
full_construction,8,100,100,0,9.716623,9.926469,0.595629,10.540269,0.835312,0.761500,0.186555,0.295968,0.255816,0.125945,0.293851,0.256857,0.104004,0.294680,0.266381,0.070182,11.454042,11.603364,0.572935,12.295532,6812.000,0.000
baseline_gargos,16,100,100,0,10.506183,10.568648,0.583608,11.427888,7.913822,8.073628,0.749183,0.000000,0.000000,0.000000,0.077663,0.067733,0.026663,0.000000,0.000000,0.000000,18.500241,18.364837,0.639364,19.751661,5932.000,0.000
full_construction,16,100,100,0,19.440005,19.345517,0.643594,20.601109,1.570762,1.409857,0.377771,0.438707,0.376367,0.179590,0.443716,0.375490,0.205293,0.426967,0.393988,0.075784,22.336461,22.082104,0.918930,23.935070,13084.000,0.000
baseline_gargos,32,100,100,0,21.542102,21.358999,0.867915,23.053320,15.156558,14.993236,0.728567,0.000000,0.000000,0.000000,0.074727,0.067465,0.023441,0.000000,0.000000,0.000000,36.774769,36.352632,1.331226,39.969871,11756.000,0.000
full_construction,32,100,100,0,39.170875,38.633742,1.658843,42.541371,2.952276,2.781977,0.392815,0.704539,0.622535,0.191872,0.701202,0.627302,0.175979,0.743367,0.657632,0.195962,44.290518,43.728372,1.850661,48.248331,25628.000,0.000
baseline_gargos,64,100,100,0,43.764437,43.557450,1.475891,46.043592,30.314466,30.165071,1.155070,0.000000,0.000000,0.000000,0.074094,0.067839,0.015579,0.000000,0.000000,0.000000,74.154408,73.671261,2.309952,77.570954,23404.000,0.000
full_construction,64,100,100,0,78.723869,78.391394,1.696794,82.002688,5.645976,5.405526,0.511224,1.269961,1.160467,0.292484,1.215357,1.134623,0.210113,1.289218,1.194635,0.236495,88.162708,87.759668,1.780690,91.825468,50716.000,0.000
