phase,avg_ms,median_ms,std_ms,p95_ms
Gargos baseline signing,36.667034,36.382027,1.052409,38.631376
Auxiliary handle generation per signer,0.079931,0.071788,0.051492,0.101798
Commitment generation,0.063410,0.057594,0.047331,0.077785
Two HTLP puzzle generations,0.002990,0.002832,0.002335,0.002870
IBE encryption,0.001944,0.001178,0.013657,0.001625
Binding-proof generation,0.007448,0.007061,0.003181,0.007412
Normal Combine,41.974369,41.828334,1.244002,44.592815
Delayed Open PEval,39.832057,39.507892,1.424592,42.462561
Delayed Open PSolve,0.001522,0.001511,0.000292,0.001556
Public Verify,42.825318,42.534207,1.304780,44.954963
Trace,42.477495,42.319032,0.918896,44.400920
End-to-end baseline,36.791811,36.608803,0.947878,38.446030
End-to-end full construction,44.101585,44.012391,0.995397,45.478667
